Category,Checklist Item
,INSTRUCTIONS: List every daily hospitality standard/checklist item the lodge should meet.
,"Category options: Neatness, Safety, Hospitality, Food & Beverage, Maintenance"
,These items will appear as a daily checklist for the lodge manager to tick off.
,
Neatness,Reception area; clean and welcoming
Neatness,All rooms; beds made and linen fresh
Neatness,Corridors and stairwells; swept and lit
Neatness,Bathrooms; sanitised and stocked with toiletries
Neatness,Compound / parking area; swept and tidy
Safety,Fire extinguishers; inspected and accessible
Safety,Emergency exits; clearly marked and unobstructed
Safety,CCTV; operational and recording
Safety,Security guard; on duty and alert
Safety,First aid kit; stocked and accessible
Hospitality,Staff greeting guests warmly at check-in
Hospitality,Guest complaints; logged and addressed within 24h
Hospitality,Room service requests fulfilled promptly
Food & Beverage,Breakfast service; on time and well-presented
Food & Beverage,Kitchen hygiene; surfaces clean and food stored properly
Food & Beverage,Bar/drinks fridge; stocked and prices displayed
Maintenance,AC units; all functional
Maintenance,Plumbing; no leaks or blockages
Maintenance,Electrical; all lights and switches working
Maintenance,TV/WiFi; working in all rooms
